codice_fornitore,nome_esolver,nome_pf,voce_id,is_intercompany,is_excluded,exclude_reason,societa_id
723,CO.I.RE.S SRL,CoIrEs SRL,USCITE_MATERIE_PRIME,False,False,,INTUR
734,LEONE S.R.L.,LEONE S.R.L.,USCITE_VARIE_EXT,False,False,,INTUR
766,VI.VA.GI. DI D'AMATO GIUSEPPE & C. SNC,Vi.Va.Gi.,USCITE_MATERIE_PRIME,False,False,,INTUR
777,ACCONCIANGIOCO & MANADRA SNC,ACCONCIANGIOCO & MANADRA SNC,USCITE_VARIE_EXT,False,False,,INTUR
779,FORNITORE ANTE 2024,FORNITORE ANTE 2024,USCITE_VARIE_EXT,False,False,HPAN25PIANO1,INTUR
781,COMUNE DI MAIORI,COMUNE DI MAIORI,USCITE_TASSE,False,False,,INTUR
782,DELLA PIETRA ANNAMARIA,DELLA PIETRA ANNAMARIA,USCITE_CANONE_PASSIVO,False,False,,INTUR
783,DELLA PIERTA PAOLA,DELLA PIERTA PAOLA,USCITE_CANONE_PASSIVO,False,False,,INTUR
796,RAIA LIBERATO,RAIA LIBERATO,,False,True,una_tantum,INTUR
853,Banca Sella S.p.A.,Banca sella - canone e-commerce RID,USCITE_COMMISSIONI,False,False,,INTUR
863,SALA GIANPIERO,SALA GIANPIERO,USCITE_VARIE_EXT,False,False,HPAN25PIANO1,INTUR
963,CSW Engineering s.r.l,CSW Engineering s.r.l,USCITE_CONSULENZE,False,False,,INTUR
993,ALDEN SRL SOCIETA TRA PROFESSIONISTI,ALDEN,USCITE_CONSULENZE,False,False,,INTUR
1008,MIELE GIUSEPPE E FIGLI SPA,MIELE GIUSEPPE E FIGLI SPA,USCITE_VARIE_EXT,False,False,HPAN25PIANO1,INTUR
1027,CAFARELLI MASSIMILIANO,CAFARELLI MASSIMILIANO,USCITE_CONSULENZE,False,False,,INTUR
1031,Travaglini Armando,Cons. Marketing - Travaglini Armando,USCITE_CONSULENZE,False,False,,INTUR
1033,EURO GROUP NETWORK S.R.L.,EURO GROUP NETWORK S.R.L.,,False,True,una_tantum,INTUR
1034,ORIL SRL,ORIL SRL,USCITE_VARIE_EXT,False,False,HPAN25PIANO1,INTUR
1035,IDRO-TOP S.R.L.,IDRO-TOP SRL,USCITE_MATERIE_PRIME,False,False,,INTUR
1048,MEDITERRANEO SNC DI TRAMONTANO,MEDITERRANEO SNC DI TRAMONTANO,,False,True,una_tantum,INTUR
1054,O.V.I.T. SRL,O.V.I.T. SRL,USCITE_VARIE_EXT,False,False,,INTUR
1069,TOPWHITE DI DANIELE RAVELLI,TOPWHITE DI DANIELE RAVELLI,USCITE_SERVIZI_PRODUZIONE,False,False,,INTUR
1214,VDA GROUP S.p.A. a socio unico,VDA GROUP S.p.A. a socio unico,USCITE_VARIE_EXT,False,False,HPAN25PIANO1,INTUR
1269,MARIGLIANO SALVATORE,MARIGLIANO SALVATORE,USCITE_VARIE_EXT,False,False,HPAN25PIANO1,INTUR
1426,RASTELLI ANTONIA,Rastrelli Antonia,USCITE_MATERIE_PRIME,False,False,,INTUR
1546,Geologo Antonio Apicella,Geologo Antonio Apicella,USCITE_CONSULENZE,False,False,HPAN25PIANO1,INTUR
1558,OLIVA COPERTURE GROUP S.R.L.,Oliva Coperture,USCITE_SERVIZI_PRODUZIONE,False,False,,INTUR
1592,FASTWEB SPA,FASTWEB SPA,USCITE_UTENZE,False,False,,INTUR
1599,PORTEDI S.R.L.,Portedi srl,USCITE_VARIE_EXT,False,False,,INTUR
1607,LAUDATO GRU DI LAUDATO FRANCESCO,LAUDATO GRU DI LAUDATO FRANCESCO,USCITE_VARIE_EXT,False,False,HPAN25PIANO1,INTUR
1639,MARINO LUIGI GIUSEPPE,MARINO LUIGI GIUSEPPE,USCITE_VARIE_EXT,False,False,HPAN25PIANO1,INTUR
1640,DOMUS TAPPEZZERIA D'ARREDO S.R.L.,Domus Tappezzeria D'Arredo S.R.L.,USCITE_VARIE_EXT,False,False,,INTUR
1642,C. & G. ATTIANESE s.r.l.,C. & G. ATTIANESE s.r.l.,USCITE_VARIE_EXT,False,False,,INTUR
1662,Indel B Spa,Indel B Spa,USCITE_VARIE_EXT,False,False,HPAN25PIANO1,INTUR
1672,OMBRELLONI LETTINI ITALIA S.R.L.,OMBRELLONI LETTINI ITALIA S.R.L.,USCITE_VARIE_EXT,False,False,HPAN25PIANO1,INTUR
1702,ATELIERLAB DI NICOLA LUIGI FOPPA,Atelierlab,USCITE_MATERIE_PRIME,False,False,,INTUR
1716,NOTINO ITALIA S.R.L.,Notino Italia,USCITE_MATERIE_PRIME,False,False,,INTUR
1734,CE.DI.S. S.R.L.,Ce.Di.S. srl,USCITE_VARIE_EXT,False,False,,INTUR
