codice_fornitore,nome_esolver,nome_pf,voce_id,is_intercompany,is_excluded,exclude_reason,societa_id
1598,KING CATERING S.R.L.,,USCITE_MATERIE_PRIME,False,False,,ORTI
1602,SOCIETA' INGROSSO TELEVISORI ELETTRODOMESTICI AFFINI S.R.L.,,USCITE_MATERIE_PRIME,False,False,,ORTI
1603,RISALITI SRL,,USCITE_MATERIE_PRIME,False,False,,ORTI
1604,HOSTERIA S.R.L.S.,,USCITE_MATERIE_PRIME,False,False,,ORTI
1605,VERGATO LUCIANO,,USCITE_MATERIE_PRIME,False,False,,ORTI
801,A. MIGLIORE S.R.L.,,USCITE_VARIE_EXT,False,False,,ORTI
1080,AUTOSTRADE PER L'ITALIA S.P.A.,,USCITE_VARIE_EXT,False,False,,ORTI
795,DEL RISPARMIO,,USCITE_VARIE_EXT,False,False,,ORTI
1625,EDILIZIA ED,,USCITE_VARIE_EXT,False,False,,ORTI
127,FEIO S.R.L.,,USCITE_VARIE_EXT,False,False,,ORTI
647,H & M HENNES & MAURITZ S.R.L.,,USCITE_VARIE_EXT,False,False,,ORTI
1091,HOSPITALITY PROJECT SRL,Hospitality Project,USCITE_CONSULENZE,False,False,,ORTI
1629,Mana srls,,USCITE_VARIE_EXT,False,False,,ORTI
1627,PEPPINO RISTORAZIONE S.R.L.,,USCITE_MATERIE_PRIME,False,False,,ORTI
137,PRIMAVERA SERVIZI S.R.L.,Primavera Servizi Srl,USCITE_SERVIZI_PRODUZIONE,False,False,,ORTI
5,SALTUR SRL,,USCITE_VARIE_EXT,False,False,,ORTI
15,Altamira Srl,Altamira,USCITE_SERVIZI_PRODUZIONE,False,False,,ORTI
16,SOFTWARE STUDIO S.R.L.,Software Studio,USCITE_SERVIZI_PRODUZIONE,False,False,,ORTI
44,VODAFONE ITALIA S.p.A.,Vodafone,USCITE_UTENZE,False,False,,ORTI
48,B. & G. DI PALO DISTRIBUZIONE,B&G Di Palo,USCITE_MATERIE_PRIME,False,False,,ORTI
52,Aruba S.p.A.,Aruba,USCITE_SERVIZI_PRODUZIONE,False,False,,ORTI
73,DELLA PIETRA STEFANO,,USCITE_CANONE_PASSIVO,False,False,,ORTI
79,PASTICCERIA TRIESTE - S.A.S.,Pasticceria Trieste,USCITE_MATERIE_PRIME,False,False,,ORTI
85,TECNO CAMPANIA SRL,Tecno Campania,USCITE_MATERIE_PRIME,False,False,,ORTI
91,SPIAGGE SRL,Spiagge,USCITE_SERVIZI_PRODUZIONE,False,False,,ORTI
142,GENERAL BEVERAGE S.R.L.,,USCITE_MATERIE_PRIME,False,False,,ORTI
208,CASA VINICOLA ETTORE SAMMARCO,Casa Vinicola Sammarco,USCITE_MATERIE_PRIME,False,False,,ORTI
211,VULAJ,Vulaj (Ceramica),USCITE_MATERIE_PRIME,False,False,,ORTI
236,RISTORANTE GIARDINIELLO SRL,Giardiniello,USCITE_MATERIE_PRIME,False,False,,ORTI
266,B & T S.p.A. Azionista Unico,,USCITE_VARIE_EXT,False,False,,ORTI
325,ALFERA S.R.L.,,USCITE_VARIE_EXT,False,False,,ORTI
499,Foraggio S.r.l.,Foraggio Srl,USCITE_MATERIE_PRIME,False,False,,ORTI
596,BABBI SRL,,USCITE_MATERIE_PRIME,False,False,,ORTI
649,Guariniello,,USCITE_VARIE_EXT,False,False,,ORTI
716,CERAMICA D'ARTE SICIGNANO SRL,,USCITE_VARIE_EXT,False,False,,ORTI
723,CO.I.RE.S SRL,CoIrEs SRL,USCITE_MATERIE_PRIME,False,False,,ORTI
734,LEONE S.R.L.,,USCITE_VARIE_EXT,False,False,,ORTI
