societa_id,voce_id,sotto_voce,tipo,codice_fornitore,cod_conto_pattern,nome_esolver
ORTI,USCITE_MATERIE_PRIME,Mammato Anna,FORNITORE,1515,,TODO_NOME_ESOLVER
ORTI,USCITE_MATERIE_PRIME,Vitagliano,FORNITORE,1306,,TODO_NOME_ESOLVER
# ══════════════════════════════════════════════════════════════════════════════
# USCITE_UTENZE — Sotto-voci: energia, gas, acqua, telefono, connettivita
# ══════════════════════════════════════════════════════════════════════════════
ORTI,USCITE_UTENZE,Energia elettrica,FORNITORE,30,,4G ENERGIA SRL
ORTI,USCITE_UTENZE,Energia elettrica (Italy Green Power),FORNITORE,1184,,Italy Green Power S.p.A.
ORTI,USCITE_UTENZE,Acqua - Ausino,FORNITORE,18,,AUSINO - S.P.A. SERVIZI IDRICI INTEGRATI
ORTI,USCITE_UTENZE,Energia elettrica,CATEGORIA,,570913,
ORTI,USCITE_UTENZE,Gas,CATEGORIA,,570919,
ORTI,USCITE_UTENZE,Acqua potabile,CATEGORIA,,570917,
ORTI,USCITE_UTENZE,Telefono,CATEGORIA,,570901,
ORTI,USCITE_UTENZE,Connettivita,CATEGORIA,,570909,
ORTI,USCITE_UTENZE,Sanificazione,CATEGORIA,,570990,
# ══════════════════════════════════════════════════════════════════════════════
# USCITE_SERVIZI_PRODUZIONE — Canoni e servizi
# ══════════════════════════════════════════════════════════════════════════════
ORTI,USCITE_SERVIZI_PRODUZIONE,Sistemi (E_solver),FORNITORE,10,,SISTEMI SOLUZIONI INFORMATICHE E TELEMATICHE S.P
ORTI,USCITE_SERVIZI_PRODUZIONE,Proxima Service,FORNITORE,12,,PROXIMA SERVICE S.R.L.
ORTI,USCITE_SERVIZI_PRODUZIONE,Soft tecnology,FORNITORE,76,,SOFT TECNOLOGY SRL
ORTI,USCITE_SERVIZI_PRODUZIONE,Plan Italia,FORNITORE,81,,PLAN ITALIA S.R.L.
ORTI,USCITE_SERVIZI_PRODUZIONE,Hoxell,FORNITORE,948,,HOXELL SA
ORTI,USCITE_SERVIZI_PRODUZIONE,Noleggio Tesla,FORNITORE,1076,,ALD Automotive Italia S.r.l.
ORTI,USCITE_SERVIZI_PRODUZIONE,Bestrank,FORNITORE,1270,,BESTRANK SOCIETA' A RESPONSABILITA' LIMITATA
ORTI,USCITE_SERVIZI_PRODUZIONE,Alba Leasing,FORNITORE,1276,,ALBA LEASING S.P.A.
ORTI,USCITE_SERVIZI_PRODUZIONE,Noleggio biancheria,CATEGORIA,,57010191,
ORTI,USCITE_SERVIZI_PRODUZIONE,Altri servizi produzione,CATEGORIA,,57010199,
ORTI,USCITE_SERVIZI_PRODUZIONE,Trasporti su acquisti,CATEGORIA,,570501,
ORTI,USCITE_SERVIZI_PRODUZIONE,Software gestione alberghiera,CATEGORIA,,659001,
ORTI,USCITE_SERVIZI_PRODUZIONE,Software contabilita e magazzino,CATEGORIA,,659002,
ORTI,USCITE_SERVIZI_PRODUZIONE,Domini e hosting,CATEGORIA,,659008,
ORTI,USCITE_SERVIZI_PRODUZIONE,Canoni noleggio attrezzature,CATEGORIA,,650515,
ORTI,USCITE_SERVIZI_PRODUZIONE,Noleggio attrezzature,CATEGORIA,,650590,
ORTI,USCITE_SERVIZI_PRODUZIONE,Canoni leasing attrezzature,CATEGORIA,,650505,
ORTI,USCITE_SERVIZI_PRODUZIONE,Canone noleggio fotocopiatrici,CATEGORIA,,630590,
# ══════════════════════════════════════════════════════════════════════════════
# USCITE_CONSULENZE
# ══════════════════════════════════════════════════════════════════════════════
ORTI,USCITE_CONSULENZE,Consulenza legale,FORNITORE,41,,Giordano Associati S.r.l Socio Unico
ORTI,USCITE_CONSULENZE,Team Work,FORNITORE,1549,,TEAMWORK S.R.L.
ORTI,USCITE_CONSULENZE,Consulenze amministrative e fiscali,CATEGORIA,,610101,
